id,name,parent,sort_order
cat_yyyle,影音娱乐,,0.0
cat_tsydu,图书阅读,,1.0
cat_zyssuo,资源搜索,,2.0
cat_gjuai,AI工具,,3.0
cat_rjgju,软件工具,,4.0
cat_xxjyu,学习教育,,5.0
cat_shxxian,生活休闲,cat_mfsti,6.0
cat_sjscai,设计素材,,7.0
cat_zykshi,职业考试,cat_sjscai,8.0
cat_cywzhan,常用网站,,9.0
cat_yxksysjdhysqkbhydqianapptv,以下APP可使用手机端会员／省去开TV版会员的钱,cat_bkygfkhduantv,11.0
cat_jhssuo,聚合搜索,cat_tsydu,25.0
cat_yzszhan,优质书站,cat_tsydu,26.0
cat_wlxshuo,网络小说,cat_tsydu,27.0
cat_qxshuo,轻小说,cat_tsydu,28.0
cat_dsqxsndnzdydbdtbzdxzdzszhytbdlfyi,多数轻小说你都能在对应的「百度贴吧」找到下载地址，甚至会有贴吧大佬翻译,cat_qxshuo,29.0
cat_zzhi,杂志,cat_tsydu,30.0
cat_jcai,教材,cat_tsydu,31.0
cat_zylsji,专业类书籍,cat_tsydu,32.0
cat_gwdzshu,国外电子书,cat_tsydu,33.0
cat_shzshu,书荒找书,cat_tsydu,34.0
cat_gji,古籍,cat_tsydu,35.0
cat_bdydqqklan642,本地阅读器请看6－4－2栏,cat_tsydu,37.0
cat_dgyle,冬瓜音乐,cat_tsydu,43.0
cat_qtyle,青听音乐,cat_tsydu,44.0
cat_yleemo,EMO音乐,cat_tsydu,45.0
cat_ylyle,元力音乐,cat_tsydu,46.0
cat_ttyting,天天悦听,cat_tsydu,47.0
cat_ylspei,音乐适配,cat_tsydu,48.0
cat_jle,简乐,cat_tsydu,49.0
cat_tscichatgpt,ChatGPT提示词,cat_gjuai,57.0
cat_sdqsuodeepseek,深度求索－DeepSeek,cat_gjuai,59.0
cat_hhjchengai,AI绘画教程,cat_gjuai,62.0
cat_hhmxxzzhanai,AI绘画模型下载站,cat_gjuai,63.0
cat_hhgjciai,AI绘画关键词,cat_gjuai,64.0
cat_thfljxuan,特惠福利精选,,75.0
cat_ltjlu,聊天记录,cat_rjgju,78.0
cat_gzhwzhang,公众号文章,cat_rjgju,79.0
cat_sphao,视频号,cat_rjgju,80.0
cat_qtnrong,其他内容,cat_rjgju,81.0
cat_pyquan,朋友圈,cat_rjgju,82.0
cat_hyqli,好友清理,cat_rjgju,83.0
cat_sjllqi,手机浏览器,cat_rjgju,85.0
cat_yjktllqzckzhanrains,雨见／可拓／Rains 浏览器（支持扩展）,cat_sjllqi,86.0
cat_hksjxjllqi,海阔视界／嗅觉浏览器,cat_sjllqi,87.0
cat_dnllqi,电脑浏览器,cat_rjgju,88.0
cat_jsllqxyjrstjsyong360xflash,360极速浏览器X（需要兼容Flash时推荐使用）,cat_dnllqi,89.0
cat_mfqjbxzzhan,免翻墙脚本下载站,cat_rjgju,90.0
cat_jbtjian,脚本推荐,cat_rjgju,91.0
cat_zplqggsjbjib,B站评论区广告水军标记,cat_jbtjian,92.0
cat_blblscjsxspxshi,哔哩哔哩收藏夹失效视频显示,cat_jbtjian,93.0
cat_ltzdhfudiscuz,Discuz 论坛自动回复,cat_jbtjian,94.0
cat_ltkjhfudiscuz,Discuz 论坛快捷回复,cat_jbtjian,95.0
cat_ycssjgzdljjguo,隐藏搜索结果中的垃圾结果,cat_jbtjian,96.0
cat_xsgzhlsxxljie,显示公众号历史消息链接,cat_jbtjian,97.0
cat_mfqkzxzzhan,免翻墙扩展下载站,cat_rjgju,98.0
cat_kztjian,扩展推荐,cat_rjgju,99.0
cat_bbei,必备,cat_kztjian,100.0
cat_spin,视频,cat_kztjian,101.0
cat_tpian,图片,cat_kztjian,102.0
cat_wybcun,网页保存,cat_kztjian,103.0
cat_ai,AI,cat_kztjian,104.0
cat_plsstwen,批量搜索提问,cat_rjgju,105.0
cat_zyxtxzai,资源嗅探下载,cat_rjgju,107.0
cat_clzyxzaibt,BT磁力资源下载,cat_rjgju,108.0
cat_lxxzfwu,离线下载服务,cat_rjgju,109.0
cat_kkwpan,夸克网盘,cat_lxxzfwu,110.0
cat_wpzyxzai,网盘资源下载,cat_rjgju,111.0
cat_ggbxzaiapp,谷歌版APP下载,cat_rjgju,112.0
cat_wdzyxzai,文档资源下载,cat_rjgju,113.0
cat_dspxzai,短视频下载,cat_rjgju,114.0
cat_spxzaibilibili,Bilibili视频下载,cat_rjgju,115.0
cat_spxzaiyoutube,YouTube视频下载,cat_rjgju,116.0
cat_special_2731,───────────,cat_spxzaiyoutube,117.0
cat_xzaiinstagram,Instagram下载,cat_rjgju,118.0
cat_fztpljrhzdkzatpfzrhzxtbwlztzhjnbcdxcleiosinssafari,iOS复制ins图片链接，然后在Safari打开，长按图片复制，然后在系统备忘录粘贴，最后就能保存到相册了,cat_xzaiinstagram,119.0
cat_azfztpljrhzkkbdllqdkzatpjkbcuninsqq,安卓复制ins图片链接，然后在夸克／百度／QQ浏览器打开，长按图片即可保存,cat_xzaiinstagram,120.0
cat_wkxzai,网课下载,cat_rjgju,121.0
cat_zblzhi,直播录制,cat_rjgju,122.0
cat_wps,WPS,cat_rjgju,124.0
cat_wxgzhhymrqdkdtmfhyuanwps1,微信公众号「WPS会员」每日签到可得1天免费会员,cat_wps,125.0
cat_dzsydqi,电子书阅读器,cat_rjgju,126.0
cat_sumatrapdf,Sumatra PDF,cat_dzsydqi,127.0
cat_ydqipdf,PDF阅读器,cat_rjgju,128.0
cat_bjqipdf,PDF编辑器,cat_rjgju,129.0
cat_jczjianpdfxchangeeditorocr,PDF-XChange Editor（集成OCR组件）,cat_bjqipdf,130.0
cat_zhuanpdf,PDF转换,cat_rjgju,131.0
cat_mtxciilovepdf100m4,iLovePDF（＜100M，每天限4次）,cat_zhuanpdf,132.0
cat_mtxcismallpdf15m2,Smallpdf（＜15M，每天限2次）,cat_zhuanpdf,133.0
cat_hmfzhuanmicrosoftofficepdfword,Microsoft Office（含免费PDF转Word）,cat_zhuanpdf,134.0
cat_ylbfang,音乐播放,cat_rjgju,136.0
cat_ypbji,音频编辑,cat_rjgju,137.0
cat_bdspbfang,本地视频播放,cat_rjgju,138.0
cat_wlspbfang,网络视频播放,cat_rjgju,139.0
cat_dyzbjsban,斗鱼直播极速版,cat_wlspbfang,140.0
cat_pmlzhi,屏幕录制,cat_rjgju,141.0
cat_spjji,视频剪辑,cat_rjgju,142.0
