站点名称,站点图标,站点链接,站点说明,类别1,类别2,类别3,类别4,类别5
百度,https://www.baidu.com/favicon.ico,https://www.baidu.com/,全球最大的中文搜索引擎,综合 & 门户,搜索引擎,通用搜索,,
Google,https://www.google.com/favicon.ico,https://www.google.com/,全球最大的搜索引擎,综合 & 门户,搜索引擎,通用搜索,,
必应,https://www.bing.com/favicon.ico,https://www.bing.com/,微软搜索引擎,综合 & 门户,搜索引擎,通用搜索,,
学术搜索,https://scholar.google.com/favicon.ico,https://scholar.google.com/,谷歌学术搜索,综合 & 门户,搜索引擎,学术搜索,,
百度学术,https://xueshu.baidu.com/favicon.ico,https://xueshu.baidu.com/,百度学术搜索,综合 & 门户,搜索引擎,学术搜索,,
网盘搜索,https://www.google.com/favicon.ico,https://www.google.com/search?q=site%3Apan.baidu.com,百度网盘搜索,综合 & 门户,搜索引擎,网盘搜索,,
BT搜索,https://www.btsearch.com/favicon.ico,https://www.btsearch.com/,BT磁力链搜索,综合 & 门户,搜索引擎,BT / 磁力搜索,,
豆瓣,https://www.douban.com/favicon.ico,https://www.douban.com/,豆瓣电影/读书/音乐,影音娱乐,影视,在线观影,综合影视平台,
腾讯视频,https://v.qq.com/favicon.ico,https://v.qq.com/,腾讯视频在线观看,影音娱乐,影视,在线观影,综合影视平台,
爱奇艺,https://www.iqiyi.com/favicon.ico,https://www.iqiyi.com/,爱奇艺在线视频,影音娱乐,影视,在线观影,综合影视平台,
哔哩哔哩,https://www.bilibili.com/favicon.ico,https://www.bilibili.com/,B站视频网站,影音娱乐,影视,在线观影,小众影视站,
AcFun,https://www.acfun.cn/favicon.ico,https://www.acfun.cn/,ACFun弹幕视频网,影音娱乐,影视,在线观影,小众影视站,
电影天堂,https://www.dytt8.net/favicon.ico,https://www.dytt8.net/,电影下载网站,影音娱乐,影视,下载资源,电影下载,
片源网,https://www.pianyuan.tv/favicon.ico,https://www.pianyuan.tv/,高清电影下载,影音娱乐,影视,下载资源,电影下载,
字幕库,https://zimuku.org/favicon.ico,https://zimuku.org/,字幕下载网站,影音娱乐,影视,字幕 / 配音,字幕下载,
伪射手,https://assrt.net/favicon.ico,https://assrt.net/,字幕下载平台,影音娱乐,影视,字幕 / 配音,字幕下载,
动漫花园,https://share.dmhy.org/favicon.ico,https://share.dmhy.org/,动漫资源分享,影音娱乐,动漫,在线动漫,,
动漫之家,https://www.dmzj.com/favicon.ico,https://www.dmzj.com/,动漫资讯和漫画,影音娱乐,动漫,漫画,综合漫画站,
快看漫画,https://www.kuaikanmanhua.com/favicon.ico,https://www.kuaikanmanhua.com/,快看漫画平台,影音娱乐,动漫,漫画,综合漫画站,
网易云音乐,https://music.163.com/favicon.ico,https://music.163.com/,音乐在线听歌,影音娱乐,音乐,在线听歌,,
QQ音乐,https://y.qq.com/favicon.ico,https://y.qq.com/,QQ音乐平台,影音娱乐,音乐,在线听歌,,
酷狗音乐,https://www.kugou.com/favicon.ico,https://www.kugou.com/,酷狗音乐播放器,影音娱乐,音乐,在线听歌,,
书格,https://www.shuge.org/favicon.ico,https://www.shuge.org/,开放共享古籍,阅读与文档,电子书,古籍 / 典藏,,
