id,name,parent,sort_order
yingshidongmanzhibojilupian1,影视／动漫／直播／纪录片,,1
wangyezonghezaixianxiazai2,网页 综合（在线／下载）,yingshidongmanzhibojilupian1,1
wangyezonghejuhesousuo3,网页 综合（聚合搜索）,yingshidongmanzhibojilupian1,2
wangyezonghejinxiazai4,网页 综合（仅下载）,yingshidongmanzhibojilupian1,3
wangyejindianshijuzaixianxiaza5,网页 仅电视剧（在线／下载）,yingshidongmanzhibojilupian1,4
wangyejindianshijujinxiazai6,网页 仅电视剧（仅下载）,yingshidongmanzhibojilupian1,5
wangyedongmanzaixian7,网页 动漫（在线）,yingshidongmanzhibojilupian1,6
wangyedongmanjinxiazai8,网页 动漫（仅下载）,yingshidongmanzhibojilupian1,7
IPyingshizhibo9,ＴＶ ＶIP影视／直播,yingshidongmanzhibojilupian1,8
TVbankeyongguanfangkehuduan10,TV版可用官方客户端,IPyingshizhibo9,1
TVbanwangpankehuduan11,TV版网盘客户端,IPyingshizhibo9,2
TVbanliulanqi12,TV版浏览器,IPyingshizhibo9,3
diannaoIPyingshizhibo13,电脑 ＶIP影视／直播,yingshidongmanzhibojilupian1,9
anzhuoIPyingshizhibo14,安卓 ＶIP影视／直播,yingshidongmanzhibojilupian1,10
ISIPyingshi15,IＯS ＶIP影视,yingshidongmanzhibojilupian1,11
tongyongtiyuzhiboluxiang16,通用 体育直播录像,yingshidongmanzhibojilupian1,12
tongyongjilupian17,通用 纪录片,yingshidongmanzhibojilupian1,13
guoneijidayingshiwangzhanzaixi18,国内几大影视网站（在线／下载）,tongyongjilupian17,1
P2K4Kshengrouziyuan19,1080P／2K／4K／生肉资源,tongyongjilupian17,2
shoujipingbanruanjian20,手机／平板软件,tongyongjilupian17,3
chashifouyou4Kpianyuan21,查是否有4K片源,tongyongjilupian17,4
wangyezhaozimu22,网页 找字幕,yingshidongmanzhibojilupian1,14
dianzishumanhuayinyuetingshu23,电子书／漫画／音乐／听书,,2
tongyongdianzishuxiaoshuoxiaza24,通用 电子书／小说下载,dianzishumanhuayinyuetingshu23,1
juhesousuo25,聚合搜索,tongyongdianzishuxiaoshuoxiaza24,1
youzhishuzhan26,优质书站,tongyongdianzishuxiaoshuoxiaza24,2
wangluoxiaoshuo27,网络小说,tongyongdianzishuxiaoshuoxiaza24,3
qingxiaoshuo28,轻小说,tongyongdianzishuxiaoshuoxiaza24,4
zazhi29,杂志,tongyongdianzishuxiaoshuoxiaza24,5
jiaocai30,教材,tongyongdianzishuxiaoshuoxiaza24,6
zhuanyeleishuji31,专业类书籍,tongyongdianzishuxiaoshuoxiaza24,7
guowaidianzishu32,国外电子书,tongyongdianzishuxiaoshuoxiaza24,8
shuhuangzhaoshu33,书荒找书,tongyongdianzishuxiaoshuoxiaza24,9
guji34,古籍,tongyongdianzishuxiaoshuoxiaza24,10
gangtaidianzishu35,港台电子书,tongyongdianzishuxiaoshuoxiaza24,11
shoujiyueduAPP36,手机 阅读APP,dianzishumanhuayinyuetingshu23,2
wangyezaixianmanhua37,网页 在线漫画,dianzishumanhuayinyuetingshu23,3
shoujimanhuaAPP38,手机 漫画APP,dianzishumanhuayinyuetingshu23,4
