id,title,url,description,category,icon,visible,sort_order
site1,共青春,https://gqc.ink/,官方直解,new_11,,1,0
site2,看片狂人,https://kpkuang.bond/,官方直解,new_11,,1,1
site3,真狼影视,https://www.zhenlang.cc/,官方直解,new_11,,1,2
site4,厂长资源,https://www.czzymovie.com/,,new_11,,1,3
site5,泥视频,https://www.nivod.vip/,,new_11,,1,4
site6,网飞猫,https://www.ncat22.com/,,new_11,,1,5
site7,Q影视,https://qqqys.com/,,new_11,,1,6
site8,修罗影视,https://xl01.com.de/,,new_11,,1,7
site9,爱壹帆,https://www.iyf.lv/,,new_11,,1,8
site10,上网必学之网页广告拦截教程,https://mp.weixin.qq.com/s/USvQbx7AwyEVkMDTPnzbQA,,new_11,,1,9
site11,不屏蔽网页的投屏浏览器推荐,https://mp.weixin.qq.com/s/ohcOGOGwPczZeJ4fWmSHLg,,new_11,,1,10
site12,饺子影院,https://www.jiaozi.me/,国产剧少,new_11,,1,11
site13,LIBVIO,https://www.libvio.art/,无国产剧,new_11,,1,12
site14,NO视频,https://www.novipnoad.net/,无大陆剧,new_11,,1,13
site15,低端影视,https://ddys.pro/,无国产剧,new_11,,1,14
site16,磁力熊,https://www.cilixiong.com/,大陆剧少,new_11,,1,15
site17,绝对影视,https://www.jdys.art/,国产剧少,new_11,,1,16
site18,HDmoli,https://www.hdmoli.pro/,国产剧少,new_11,,1,17
site19,注视影视,https://gaze.run/,国产剧少,new_11,,1,18
site20,在线之家,https://www.zxzjhd.com/,无国产剧,new_11,,1,19
site21,搜片,http://soupian.pro/,,new_13,,1,20
site22,影猫の仓库,https://ymck.pro/,,new_13,,1,21
site23,影搜,https://xn--p3tv7h.com/,,new_13,,1,22
site24,xmxone,https://www.xmxone.cn/,,new_13,,1,23
site25,Seedhub,https://www.seedhub.cc/,,new_14,,1,24
site26,CHAOSPACE,https://www.chaospace.cc/,,new_14,,1,25
site27,搜索盘,http://c.rtshear.com/app/index.html?id=test,,new_14,,1,26
site28,音范丝,https://www.yinfans.me/,,new_14,,1,27
site29,K世界,https://www.4ksj.com/,,new_14,,1,28
site30,片库Btnull,https://www.gying.in/,,new_14,,1,29
site31,橘子盘搜,https://nmme.xyz/,,new_14,,1,30
site32,人人影视,https://www.yysub.cc/,,new_14,,1,31
site33,皮皮虾资源,https://ppxzy.cc/,,new_14,,1,32
site34,电影天堂,https://dy2018.com/,,new_14,,1,33
site35,悠悠MP4,https://www.uump4.cc/,,new_14,,1,34
site36,不太灵影视,https://3bt0.com/,,new_14,,1,35
site37,SuSus Share,https://susuifa.com/,,new_14,,1,36
site38,美剧天堂,https://www.meijutt.net/,,new_15,,1,37
site39,港剧屋,https://www.gj5.tv/,,new_15,,1,38
site40,港剧迷,http://www.hkmovie.cn/,,new_15,,1,39
site41,各种剧－湾湾字幕组,https://wanwansub.com/,,new_16,,1,40
site42,各种剧－NEW字幕组,https://nz99.xyz/index.html,,new_16,,1,41
site43,各种剧－FIX字幕侠,https://www.zimuxia.cn/%E6%88%91%E4%BB%AC%E7%9A%84%E4%BD%9C%E5%93%81,,new_16,,1,42
