id,title,url,description,category,icon,visible,sort_order
site1,共青春,https://gqc.ink/,官方直解,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,0
site2,看片狂人,https://kpkuang.bond/,官方直解,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,1
site3,真狼影视,https://www.zhenlang.cc/,官方直解,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,2
site4,厂长资源,https://www.czzymovie.com/,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,3
site5,泥视频,https://www.nivod.vip/,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,4
site6,网飞猫,https://www.ncat22.com/,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,5
site7,Q影视,https://qqqys.com/,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,6
site8,修罗影视,https://xl01.com.de/,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,7
site9,爱壹帆,https://www.iyf.lv/,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,8
site10,上网必学之网页广告拦截教程,https://mp.weixin.qq.com/s/USvQbx7AwyEVkMDTPnzbQA,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,9
site11,不屏蔽网页的投屏浏览器推荐,https://mp.weixin.qq.com/s/ohcOGOGwPczZeJ4fWmSHLg,,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,10
site12,饺子影院,https://www.jiaozi.me/,国产剧少,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,11
site13,LIBVIO,https://www.libvio.art/,无国产剧,1d30f6f8-9776-4f69-991b-3d5246484e00,,1,12
site21,搜片,http://soupian.pro/,,044e38d9-16e4-47fc-aa91-663fa1abc99c,,1,20
site22,影猫の仓库,https://ymck.pro/,,044e38d9-16e4-47fc-aa91-663fa1abc99c,,1,21
site23,影搜,https://xn--p3tv7h.com/,,044e38d9-16e4-47fc-aa91-663fa1abc99c,,1,22
site24,xmxone,https://www.xmxone.cn/,,044e38d9-16e4-47fc-aa91-663fa1abc99c,,1,23
site25,Seedhub,https://www.seedhub.cc/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,24
site26,CHAOSPACE,https://www.chaospace.cc/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,25
site27,搜索盘,http://c.rtshear.com/app/index.html?id=test,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,26
site28,音范丝,https://www.yinfans.me/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,27
site29,K世界,https://www.4ksj.com/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,28
site30,片库Btnull,https://www.gying.in/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,29
site31,橘子盘搜,https://nmme.xyz/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,30
site32,人人影视,https://www.yysub.cc/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,31
site33,皮皮虾资源,https://ppxzy.cc/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,32
site34,电影天堂,https://dy2018.com/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,33
site35,悠悠MP4,https://www.uump4.cc/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,34
site36,不太灵影视,https://3bt0.com/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,35
site37,SuSus Share,https://susuifa.com/,,70cdb45a-0143-484f-8bdb-82e9b8d32e7f,,1,36
site38,美剧天堂,https://www.meijutt.net/,,9b384a2a-86af-49b7-b4e6-75db22368ac8,,1,37
site39,港剧屋,https://www.gj5.tv/,,9b384a2a-86af-49b7-b4e6-75db22368ac8,,1,38
site40,港剧迷,http://www.hkmovie.cn/,,9b384a2a-86af-49b7-b4e6-75db22368ac8,,1,39
site41,各种剧－湾湾字幕组,https://wanwansub.com/,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,40
site42,各种剧－NEW字幕组,https://nz99.xyz/index.html,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,41
site43,各种剧－FIX字幕侠,https://www.zimuxia.cn/%E6%88%91%E4%BB%AC%E7%9A%84%E4%BD%9C%E5%93%81,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,42
site44,各种剧－人人影视镜像,https://v.dsb.ink/#/,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,43
site45,各种剧－人人影视下载分享,https://yyets.click/home,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,44
site46,各种剧－人人影视17517部作品资源,https://axu.lanzoue.com/i0tMRvy8dvc,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,45
site47,仅日剧－东京不够热,https://www.tnhzmz.com/,,ae77e9b7-ae97-4551-af26-8911e8515c26,,1,46
site49,在线看动漫必学之网页广告拦截,https://mp.weixin.qq.com/s/USvQbx7AwyEVkMDTPnzbQA,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,48
site50,不屏蔽网页的投屏浏览器推荐,https://mp.weixin.qq.com/s/ohcOGOGwPczZeJ4fWmSHLg,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,49
site51,Animoe动漫,https://animoe.org/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,50
site52,E站动漫,https://www.ezdmw.site/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,51
site53,中国动漫网,https://www.zgacgn.net/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,52
site54,樱花动漫,https://www.295yhw.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,53
site55,动漫,https://www.233dm.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,54
site56,番茶屋,https://www.fanchawu.cc/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,55
site57,奇米奇米,https://www.qimiqimi.net/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,56
site58,番薯动漫,https://www.fsdm02.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,57
site59,AkiAnime,https://www.akianime.cc/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,58
site60,久久动漫,https://www.995dm.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,59
site61,次元域动漫,https://www.cycani.org/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,60
site62,樱花动漫,https://yhdmoe.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,61
site63,稀饭动漫,https://dm1.xfdm.pro/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,62
site64,異世界動漫,https://www.dmmiku.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,63
site65,番茄动漫,https://www.fqdm.cc/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,64
site66,D站,https://www.5dm.link/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,65
site67,Anime1,https://anime1.cc/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,66
site68,七色番,https://www.7sefun.top/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,67
site69,嘀哩嘀哩,https://dilidili.online/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,68
site70,NT动漫,https://www.ntdm8.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,69
site71,稀饭动漫,https://dm.xifanacg.com/,,a4bdb45a-e84c-49ae-bc8a-64e683400f66,,1,70
site72,动漫花园同步站,https://dongmanhuayuan.myheartsite.com/,,4b99597b-e13d-4c36-bdbb-8413e28f2bbe,,1,71
site73,动漫国字幕组,https://www.dmguo.org/forum.php,,4b99597b-e13d-4c36-bdbb-8413e28f2bbe,,1,72
site74,蜜柑计划,https://mikanani.me/,,4b99597b-e13d-4c36-bdbb-8413e28f2bbe,,1,73
site75,爱恋动漫,https://www.kisssub.org/,,4b99597b-e13d-4c36-bdbb-8413e28f2bbe,,1,74
site76,猫漫动漫BT下载,https://www.comicat.org/,,4b99597b-e13d-4c36-bdbb-8413e28f2bbe,,1,75
